t,com_y:support,com_y:plate_0,com_y:fork_0,com_y:knife_0,com_y:plate_1,com_y:fork_1,com_y:knife_1,com_y:plate_2,com_y:fork_2,com_y:knife_2,com_y:plate_3,com_y:fork_3,com_y:knife_3,com_y:plate_4,com_y:fork_4,com_y:knife_4,com_y:plate_5,com_y:fork_5,com_y:knife_5,com_y:cup_0,com_y:cup_1,com_y:cup_2,com_y:cup_3,com_y:candle_0,com_y:candle_1,com_y:pot,E_el:support,E_el:plate_0,E_el:fork_0,E_el:knife_0,E_el:plate_1,E_el:fork_1,E_el:knife_1,E_el:plate_2,E_el:fork_2,E_el:knife_2,E_el:plate_3,E_el:fork_3,E_el:knife_3,E_el:plate_4,E_el:fork_4,E_el:knife_4,E_el:plate_5,E_el:fork_5,E_el:knife_5,E_el:cup_0,E_el:cup_1,E_el:cup_2,E_el:cup_3,E_el:candle_0,E_el:candle_1,E_el:pot,F:candle_0->support,F:candle_1->support,F:cup_0->support,F:cup_1->support,F:cup_2->support,F:cup_3->support,F:fork_0->support,F:fork_1->support,F:fork_2->support,F:fork_3->support,F:fork_4->support,F:fork_5->support,F:knife_0->support,F:knife_1->support,F:knife_2->support,F:knife_3->support,F:knife_4->support,F:knife_5->support,F:plate_0->support,F:plate_1->support,F:plate_2->support,F:plate_3->support,F:plate_4->support,F:plate_5->support,F:pot->support,support_mid_uy
2.500050,0.007613033,0.038152670,0.033757117,0.032564885,0.036215502,0.033003429,0.035686260,0.038158600,0.032571674,0.033765696,0.038152216,0.032569019,0.033750642,0.036209349,0.031265339,0.031264588,0.038156650,0.033757121,0.032572933,0.057350048,0.058793302,0.057358173,0.058787168,0.116837549,0.116831999,0.595000016,1.009268e+00,4.032844e-06,2.711727e-07,5.534801e-07,7.047856e-06,2.586838e-04,2.248655e-04,3.786720e-06,1.027657e-06,3.877950e-07,3.220789e-06,2.349958e-07,7.615172e-07,7.359556e-06,6.529494e-06,5.243815e-06,2.740313e-06,6.440172e-07,4.073556e-07,4.885026e-05,2.519080e-05,2.049175e-05,4.095606e-05,2.405172e-03,2.293654e-03,1.755982e+00,7.091847,8.448808,4.660199,3.509454,3.253040,4.256891,0.602629,0.000000,0.871316,0.579856,0.842035,0.675503,0.886933,0.000000,0.324080,0.905964,0.959920,0.616072,5.197092,5.406106,4.923752,4.844792,5.611862,4.369121,0.000000,-3.892263616e-03
2.502550,0.007617918,0.038152902,0.033755825,0.032573174,0.036220344,0.032912425,0.035760055,0.038159461,0.032580461,0.033758687,0.038154092,0.032573034,0.033759226,0.036226299,0.031285055,0.031288221,0.038161403,0.033766977,0.032585282,0.057354706,0.058791618,0.057359933,0.058793184,0.116829046,0.116852488,0.594968134,1.005075e+00,3.607619e-06,2.928287e-07,2.340572e-07,6.949770e-06,5.974594e-04,5.263120e-04,3.623849e-06,3.665992e-07,6.382544e-07,4.017562e-06,3.070738e-07,5.587714e-07,6.850665e-06,5.514238e-06,5.332699e-06,3.735838e-06,3.640764e-07,1.375375e-07,3.945969e-05,2.783830e-05,2.759083e-05,2.676696e-05,2.358072e-03,2.368732e-03,6.949421e-01,7.321683,7.996993,4.616598,3.618834,3.392316,4.022877,0.620182,0.000000,0.772648,0.618524,0.844061,0.463874,0.791070,1.423759,0.471068,0.831519,0.624804,0.468367,5.224653,5.890328,4.483391,5.147019,5.227890,4.629889,0.000000,-3.881222735e-03
2.505050,0.007624858,0.038154337,0.033756546,0.032577828,0.036234656,0.032760711,0.036021819,0.038157452,0.032583707,0.033756988,0.038159200,0.032581751,0.033762229,0.036248256,0.031313250,0.031303530,0.038166693,0.033760653,0.032588257,0.057364112,0.058787025,0.057359220,0.058795514,0.116819579,0.116873499,0.594874939,9.992483e-01,3.583806e-06,1.975946e-07,2.277790e-07,7.182013e-06,3.753776e-04,1.523887e-04,4.652242e-06,5.000202e-07,6.739849e-07,4.206791e-06,2.506962e-07,4.662159e-07,6.015874e-06,4.490846e-06,9.268934e-06,4.240675e-06,4.176390e-07,4.750858e-07,2.016039e-05,3.349992e-05,4.740997e-05,1.981579e-05,2.214532e-03,2.448402e-03,3.626104e-01,8.160514,7.759082,3.714333,3.874361,4.228674,3.371172,0.582495,0.085360,0.366368,0.629803,0.461933,0.538668,0.364448,2.471310,0.733932,0.298871,0.502144,0.622812,4.767307,5.389879,5.304799,5.077325,5.313136,5.170497,0.000000,-3.866156501e-03
2.507550,0.007634089,0.038156785,0.033755222,0.032575245,0.036255395,0.032646592,0.036345429,0.038164929,0.032584273,0.033761681,0.038165063,0.032591478,0.033754687,0.036269630,0.031325941,0.031326611,0.038173330,0.033766054,0.032603319,0.057366656,0.058783787,0.057368489,0.058789051,0.116815565,0.116892549,0.594720431,9.915485e-01,4.546697e-06,3.224802e-07,6.131442e-07,6.783873e-06,4.916381e-04,2.558917e-04,3.795973e-06,1.112124e-06,5.775565e-07,3.215423e-06,2.417727e-07,7.748308e-07,5.316494e-06,6.884500e-06,5.317692e-06,2.977252e-06,7.688535e-07,4.339394e-07,3.192883e-05,3.669111e-05,4.491424e-05,3.273310e-05,2.219137e-03,2.344112e-03,8.857460e-01,8.913066,7.597287,3.550847,4.146662,4.733177,3.553560,0.580130,2.414566,0.851960,0.568484,0.543449,0.758630,0.787194,0.107379,0.553737,0.785233,0.717640,0.675256,5.342124,5.410706,5.527424,4.861695,4.398788,4.725630,0.000000,-3.848171279e-03
2.510050,0.007645856,0.038166444,0.033759367,0.032599473,0.036279750,0.032796069,0.036608994,0.038175907,0.032613766,0.033763923,0.038171112,0.032600470,0.033769964,0.036286698,0.031347756,0.031345006,0.038177787,0.033770910,0.032612127,0.057371563,0.058786103,0.057385981,0.058783828,0.116820484,0.116911366,0.594504611,9.817404e-01,4.433415e-06,4.405745e-07,1.547138e-07,6.364159e-06,5.089692e-04,3.232884e-04,4.728144e-06,2.687876e-07,1.044974e-06,3.834252e-06,4.055331e-07,1.748150e-07,6.708093e-06,4.956055e-07,3.636106e-06,3.812691e-06,6.760549e-07,3.434240e-07,6.134037e-05,4.238295e-05,2.371001e-05,5.093706e-05,2.325266e-03,2.145642e-03,1.019998e+00,9.039287,8.095739,4.698876,4.411860,3.987415,4.509396,0.701821,2.678016,0.658630,0.614049,0.705933,0.406113,0.704866,0.000000,0.631290,0.622902,0.432920,0.437768,5.504945,5.048450,5.058591,5.101533,4.997887,4.985568,0.000000,-3.827932808e-03
2.512550,0.007660350,0.038181750,0.033772692,0.032613656,0.036308297,0.033011966,0.036811247,0.038189622,0.032623846,0.033776822,0.038180850,0.032613136,0.033768919,0.036305931,0.031366204,0.031357153,0.038186736,0.033767697,0.032617865,0.057393624,0.058796646,0.057398721,0.058792692,0.116834017,0.116932755,0.594227479,9.696707e-01,3.624460e-06,2.748953e-07,3.430846e-07,5.969998e-06,5.026038e-04,5.740870e-05,3.369202e-06,9.585966e-07,5.108033e-07,4.186601e-06,2.845806e-07,6.456787e-07,5.440393e-06,6.750362e-06,8.711971e-06,4.723559e-06,6.740551e-07,4.504103e-07,4.442707e-05,3.753536e-05,2.524835e-05,4.927496e-05,2.244780e-03,2.019983e-03,1.297660e+00,8.752961,8.269276,5.038561,4.405943,3.459091,4.946554,0.608301,0.135501,0.333322,0.607362,0.427844,0.748986,0.425910,0.000000,0.689049,0.422188,0.711073,0.729472,5.158410,5.327887,5.091917,5.121016,4.780926,5.399384,0.000000,-3.805134013e-03
2.515050,0.007676987,0.038198477,0.033783190,0.032631783,0.036336034,0.033167884,0.036952187,0.038203837,0.032636932,0.033788454,0.038191043,0.032626004,0.033775859,0.036322086,0.031377160,0.031380026,0.038199865,0.033789295,0.032639780,0.057424882,0.058811870,0.057409111,0.058812261,0.116854381,0.116958805,0.593889034,9.558842e-01,3.469131e-06,2.485662e-07,4.823370e-07,5.777980e-06,2.954834e-04,2.256483e-04,3.602357e-06,8.990337e-07,4.777221e-07,3.972619e-06,2.548264e-07,5.750036e-07,7.016898e-06,7.229942e-06,7.315984e-06,3.718661e-06,3.126988e-07,1.851245e-07,1.992930e-05,2.823951e-05,5.222604e-05,2.295419e-05,2.044437e-03,2.113714e-03,7.180145e-01,8.760483,8.350065,3.854456,4.003427,4.266258,4.089250,0.559389,0.000000,0.893288,0.596583,0.682638,0.691173,0.810165,0.000000,0.480648,0.850318,0.545400,0.633425,4.908681,4.337195,4.939364,4.912384,4.991391,4.989004,0.000000,-3.778696070e-03
2.517550,0.007695275,0.038215832,0.033796100,0.032662337,0.036359427,0.033262489,0.037060876,0.038220453,0.032669462,0.033796962,0.038205508,0.032643318,0.033794342,0.036345945,0.031404840,0.031398981,0.038213313,0.033795151,0.032652163,0.057448041,0.058825907,0.057431887,0.058826687,0.116882069,0.116986884,0.593489276,9.408788e-01,3.652877e-06,2.895634e-07,8.806139e-08,6.198170e-06,8.332331e-04,2.686751e-04,3.809099e-06,1.504635e-07,9.041342e-07,4.234710e-06,3.352030e-07,1.460572e-07,6.432632e-06,3.165979e-06,6.654604e-06,3.544291e-06,4.515990e-07,5.029330e-07,2.176125e-05,2.980728e-05,4.941495e-05,2.042610e-05,1.947265e-03,2.188669e-03,1.492068e-01,8.680096,7.887355,3.176145,3.769240,4.968050,3.264230,0.654388,0.000000,0.478384,0.664111,0.708772,0.344741,0.486962,0.740239,0.689664,0.464171,0.683211,0.469314,5.016536,4.982186,5.041923,5.620149,5.698890,5.039100,0.000000,-3.751068282e-03
2.520050,0.007714224,0.038232175,0.033811721,0.032671444,0.036383716,0.033297123,0.037186451,0.038234606,0.032675015,0.033814379,0.038227703,0.032668934,0.033800742,0.036374283,0.031432678,0.031432330,0.038229193,0.033801602,0.032669505,0.057463235,0.058838152,0.057465697,0.058833189,0.116914620,0.117014644,0.593028206,9.254504e-01,2.895096e-06,1.808965e-07,3.359049e-07,5.209570e-06,1.881990e-04,1.272876e-04,3.457348e-06,1.073970e-06,1.693279e-07,3.470347e-06,2.333684e-07,7.881195e-07,6.517930e-06,4.783735e-06,3.962409e-06,3.592139e-06,7.328238e-07,5.408836e-07,3.920826e-05,3.071587e-05,2.219990e-05,3.902345e-05,1.922831e-03,2.032088e-03,1.170717e+00,8.214595,7.832589,3.811058,3.838842,4.054589,3.759824,0.532729,0.093139,0.418611,0.649881,0.517947,0.841441,0.448919,0.389675,0.546044,0.648386,0.616306,0.787992,4.526040,4.708465,4.515379,5.084971,4.928516,5.040284,0.000000,-3.723127656e-03
2.522550,0.007732746,0.038242783,0.033816014,0.032689066,0.036404951,0.033374251,0.037261153,0.038246280,0.032693658,0.033816692,0.038246411,0.032694831,0.033823420,0.036406158,0.031460970,0.031459610,0.038245941,0.033824306,0.032699002,0.057482578,0.058847543,0.057492893,0.058842506,0.116946798,0.117040422,0.592505824,9.104909e-01,3.606771e-06,2.998941e-07,3.396472e-07,6.814576e-06,5.971387e-04,3.930710e-04,3.050282e-06,3.726715e-07,9.262134e-07,3.484233e-06,2.577718e-07,4.196458e-07,6.604577e-06,3.037898e-06,4.349635e-06,4.428175e-06,6.440645e-07,1.160649e-07,4.080288e-05,2.240906e-05,1.768796e-05,3.748258e-05,2.054603e-03,1.810564e-03,1.385118e+00,7.431404,7.321706,4.419430,3.582156,3.109119,4.302693,0.496187,2.196011,0.877309,0.529906,0.702968,0.492785,0.801700,0.000000,0.455619,0.650059,0.598573,0.528938,4.642544,4.930143,4.921816,4.470440,5.527719,4.974084,0.000000,-3.694292307e-03
